"s11","s12","s13","s14","s15","s16","s17","s18","s21","s22","s23","s24","s25","s26","s27","s28","IngsInRow","IngIn1","IngIn2"
"Vegan turkey","Cucumbers","Pickles","Jalapenos","Garlic aioli","","","","Swiss cheese","Cheddar cheese","Pepper jack cheese","Onions","Tomatoes","","","",5,5,5
"Vegan turkey","Provolone cheese","Lettuce","Tomatoes","Onions","","","","Sprouts","Cucumbers","Onions","Spinach","Tomatoes","Vinaigrette","","",6,5,6
"Guacamole","Sprouts","Tomatoes","Cucumbers","Vinaigrette","","","","Mushrooms","Arugula","Tomatoes","Onions","Swiss cheese","Vinaigrette","","",6,5,6
"Mozzarella cheese","Peppers","Pesto","Mixed greens","Mayonnaise","","","","Hummus","Guacamole","Tomatoes","Lettuce","Sprouts","","","",5,5,5
"Peppers","Tomatoes","Basil","Spinach","Hummus","Pesto","Olives","","Provolone cheese","Guacamole","Mixed greens","Onions","Tomatoes","Pickles","Cucumbers","Sprouts",8,7,8
"Soy chicken","Ranch dressing","Lettuce","Tomatoes","Onions","","","","Avocado","Cucumbers","Arugula","Carrots","Tomatoes","Olives","Cream cheese","",7,5,7
"Soy chicken","Mushrooms","Onions","Provolone cheese","","","","","Hummus","Feta cheese","Artichoke hearts","Cucumbers","Peppers","","","",5,4,5
"Mixed greens","Onions","Hummus","Olives","Cucumbers","Sprouts","Tomatoes","","Egg salad","Lettuce","Tomatoes","Onions","","","","",7,7,4
"Mushrooms","Provolone cheese","Mustard","Peppers","Lettuce","Tomatoes","Vinaigrette","","Vegan turkey","Cucumbers","Tomatoes","Onions","Sprouts","Avocado","Mayonnaise","",7,7,7
"Falafel","Garlic aioli","Cucumbers","Peppers","Arugula","","","","Guacamole","Cheddar cheese","Provolone cheese","Olives","Cucumbers","Mushrooms","Peppers","Lettuce",8,5,8
"Mushrooms","Peppers","Artichoke hearts","Spinach","Pesto","","","","Hummus","Avocado","Cucumbers","Tomatoes","Onions","Sprouts","","",6,5,6
"Pepper jack cheese","Cream cheese","Guacamole","Mixed greens","Onions","Tomatoes","Pickles","Sprouts","Black bean patty","Sprouts","Avocado","Tomatoes","Onions","Garlic aioli","","",8,8,6
"Artichoke hearts","Mushrooms","Pesto","Provolone cheese","","","","","Avocado","Pesto","Cheddar cheese","","","","","",4,4,3
"Soy chicken","Coleslaw","Ranch dressing","Pickles","","","","","Black bean patty","Guacamole","Tomatoes","Lettuce","Sprouts","","","",5,4,5
"Spinach","Tomatoes","Cucumbers","Onions","Peppers","Avocado","Mayonnaise","","Vegan bacon","Tomatoes","Avocado","Pesto","","","","",7,7,4
"Vegan bacon","Tomatoes","Lettuce","Mayonnaise","","","","","Artichoke hearts","Feta cheese","Provolone cheese","Mayonnaise","Onions","Tomatoes","Pickles","",7,4,7
"Cucumbers","Tomatoes","Peppers","Onions","Mixed greens","Carrots","Sprouts","Avocado","Hummus","Guacamole","Tomatoes","Lettuce","Sprouts","","","",8,8,5
"Mushrooms","Provolone cheese","Mustard","Peppers","Lettuce","Tomatoes","Vinaigrette","","Black bean patty","Onions","Peppers","Provolone cheese","","","","",7,7,4
"Soy chicken","Mushrooms","Onions","Provolone cheese","","","","","Avocado","Pesto","Cheddar cheese","","","","","",4,4,3
"Artichoke hearts","Mushrooms","Pesto","Provolone cheese","","","","","Vegan turkey","Provolone cheese","Vinaigrette","Coleslaw","Mayonnaise","","","",5,4,5
